global_step,update,mode,eval_kind,episode_index,stage_id,stage_label,n_obstacles,seed,return,episode_length,success,collision,out_of_bounds,timeout,event,mission_distance,target_x,target_y,target_z,target_boundary_margin,target_xy_margin,final_distance,min_distance,final_workspace_margin,min_workspace_margin,mean_workspace_margin,progress_total,path_length,path_ratio,path_efficiency,mean_speed,max_speed,mean_surge_speed,mean_abs_roll,max_abs_roll,mean_abs_pitch,max_abs_pitch,mean_abs_heading_error,max_abs_heading_error,mean_cross_track_error,max_cross_track_error,final_path_progress_fraction,mean_min_obstacle_clearance,min_obstacle_clearance,clearance_breach_steps,mean_action_l2,mean_action_delta_l2,mean_guidance_action_l2,mean_guided_action_l2,mean_propeller_rps,mean_abs_propeller_rps,mean_target_alignment,mean_abs_depth_error,mean_current_speed,max_current_speed,reward_total_check,rc_window_mean__progress_reward,rc_cumulative_sum__progress_reward,rc_trigger_rate__progress_reward,rc_window_mean__closing_speed_reward,rc_cumulative_sum__closing_speed_reward,rc_trigger_rate__closing_speed_reward,rc_window_mean__alignment_reward,rc_cumulative_sum__alignment_reward,rc_trigger_rate__alignment_reward,rc_window_mean__step_penalty,rc_cumulative_sum__step_penalty,rc_trigger_rate__step_penalty,rc_window_mean__action_l2_penalty,rc_cumulative_sum__action_l2_penalty,rc_trigger_rate__action_l2_penalty,rc_window_mean__action_smooth_penalty,rc_cumulative_sum__action_smooth_penalty,rc_trigger_rate__action_smooth_penalty,rc_window_mean__roll_penalty,rc_cumulative_sum__roll_penalty,rc_trigger_rate__roll_penalty,rc_window_mean__pitch_penalty,rc_cumulative_sum__pitch_penalty,rc_trigger_rate__pitch_penalty,rc_window_mean__obstacle_clearance_penalty,rc_cumulative_sum__obstacle_clearance_penalty,rc_trigger_rate__obstacle_clearance_penalty,rc_window_mean__orbit_penalty,rc_cumulative_sum__orbit_penalty,rc_trigger_rate__orbit_penalty,rc_window_mean__goal_bonus,rc_cumulative_sum__goal_bonus,rc_trigger_rate__goal_bonus,rc_window_mean__collision_penalty,rc_cumulative_sum__collision_penalty,rc_trigger_rate__collision_penalty,rc_window_mean__out_of_bounds_penalty,rc_cumulative_sum__out_of_bounds_penalty,rc_trigger_rate__out_of_bounds_penalty,rc_window_mean__timeout_penalty,rc_cumulative_sum__timeout_penalty,rc_trigger_rate__timeout_penalty,rc_window_mean__timeout_distance_penalty,rc_cumulative_sum__timeout_distance_penalty,rc_trigger_rate__timeout_distance_penalty
4096,1,train,,0,1,short_2.5D_no_current,0,,808.8364277707367,587,1,0,0,0,goal,42.18210702081949,-5.953687452531945,-15.50423709209025,14.487354921940213,5.0,44.49576290790975,1.2283463871606952,1.2283463871606952,14.090045296031255,9.988531958249249,11.951684303807724,40.953760633658774,40.99734276142244,0.971913108588618,0.9989369523771999,1.396843024239264,1.5734928883647512,1.396713515149479,0.00303247254012491,0.010537592980127908,0.10826648687248312,0.16773463796248134,0.012726276577466496,0.040805767738401943,0.2818056917574495,0.4306543221951916,0.971604225093697,,,0,0.6140288066454518,0.5563138462634823,0.37821138057432546,0.5797475717416004,24.78457484897785,24.78457484897785,0.998953155506805,2.5356706181324906,0.0,0.0,808.8364277707365,0.29771445546918834,174.75838536041357,1.0,0.05581432454331694,32.763008506927044,1.0,0.007991625244054437,4.6910840182599545,1.0,-0.0020000000000000013,-1.1740000000000008,1.0,-0.0012280576132909027,-0.72086981900176,1.0,-0.0005563138462634828,-0.32655622775666443,1.0,-1.819483521459753e-05,-0.010680368270968752,1.0,-0.0019487967629210142,-1.1439436998346353,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0221465076660987,600.0,0.0017035775127768314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4096,1,train,,1,1,short_2.5D_no_current,0,,801.325237137461,478,1,0,0,0,goal,34.04790639672032,-6.790296140720265,-32.73135338582677,11.882093509110843,5.0,27.268646614173228,1.2234174196268197,1.2234174196268197,11.665302670653713,9.989758638221767,10.792211309672787,32.82448897709352,32.84331888964573,0.9646208053723202,0.9994266744900082,1.374197443081411,1.5732318438489503,1.3741227043416189,0.004883119432760314,0.024671159570702095,0.05591626830005156,0.08839698801150409,0.015420207632665757,0.052195384240446785,0.152436520632817,0.27392333652900464,0.96434453875198,,,0,0.618429014160177,0.5145777629066851,0.36515933345364227,0.5649339410955686,24.45984956187574,24.45984956187574,0.9994098232308779,1.0898821994380528,0.0,0.0,801.3252371374608,0.3630380699964094,173.5321974582837,1.0,0.054936383225261065,26.25959118167479,1.0,0.007995278585847025,3.8217431640348782,1.0,-0.0020000000000000013,-0.9560000000000007,1.0,-0.0012368580283203543,-0.5912181375371294,1.0,-0.0005145777629066856,-0.24596817066939572,1.0,-2.9298716592316196e-05,-0.014004786531127142,1.0,-0.0010064928280226165,-0.48110357179481067,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2552301255230125,600.0,0.0020920502092050207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4096,1,train,,2,1,short_2.5D_no_current,0,,803.4479940692204,504,1,0,0,0,goal,36.20226642447906,-36.64335505776389,-3.9934795527559004,8.306626360510602,5.0,23.35664494223611,1.248468799989122,1.248468799989122,8.487897357969569,8.487897357969569,9.32106820046477,34.953797624489894,34.9676094711698,0.9658955895514205,0.9996050102683958,1.387603550443247,1.5682402715072319,1.3875543996361663,0.004087657158012338,0.020285696144648924,0.04664597465972276,0.07661752818623757,0.014567834463569048,0.0421885385266032,0.16224494646179474,0.2598328179559936,0.9656948898762897,,,0,0.6272169474423641,0.519901792579774,0.3686166742284383,0.5697723846394747,24.664462187790686,24.664462187790686,0.9995589743367462,1.0144418399541635,0.0,0.0,803.4479940692202,0.34482645382562327,173.79253272811414,1.0,0.055482218451571315,27.96303809959194,1.0,0.007996471794693975,4.0302217845257635,1.0,-0.0020000000000000013,-1.0080000000000007,1.0,-0.0012544338948847294,-0.6322346830219036,1.0,-0.0005199017925797739,-0.262030503460206,1.0,-2.4525942913030658e-05,-0.012361075228167451,1.0,-0.0008396275422648098,-0.4231722813014641,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1904761904761905,600.0,0.001984126984126984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4096,1,train,,3,1,short_2.5D_no_current,0,,811.3964455515052,604,1,0,0,0,goal,43.81314143621752,-15.544835275815736,-3.6533026469030503,9.32629951359,5.0,44.455164724184264,1.2255796338327423,1.2255796338327423,9.438831047174169,9.438831047174169,9.76317570478365,42.58756180238479,42.5971773604857,0.9722465900441766,0.9997742677168594,1.410502561605488,1.5711444615607186,1.4104570584936682,0.004125777850018534,0.02165774178755564,0.017424843073983058,0.07449791839891029,0.011173126928696885,0.03354152946716438,0.10232091991157012,0.16386518171392803,0.9721161164510971,,,0,0.6210038225391621,0.5080555060266252,0.37667182006484623,0.5799412370122821,25.001286501512563,25.001286501512563,0.9997820566134575,0.43687619119364945,0.0,0.0,811.396445551505,0.2896769570667108,174.96488206829332,1.0,0.056407366625675186,34.07004944190781,1.0,0.007998256452907648,4.830946897556219,1.0,-0.0020000000000000013,-1.2080000000000009,1.0,-0.0012420076450783241,-0.7501726176273078,1.0,-0.0005080555060266249,-0.3068655256400814,1.0,-2.475466708241681e-05,-0.014951818917779754,1.0,-0.0003136471756078877,-0.18944289406716416,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9933774834437086,600.0,0.0016556291390728477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4096,1,train,,4,1,short_2.5D_no_current,0,,807.2273739708153,558,1,0,0,0,goal,40.265046883689,0.12537301240362808,-41.722547674419786,12.874242625544152,5.0,18.277452325580214,1.246837485682593,1.246837485682593,12.66046294487759,9.997260999434825,11.30168726756163,39.0182093980064,39.032328577317045,0.96938490324045,0.9996382696132857,1.3990081927353806,1.5795918142310825,1.3989454505730852,0.002695987586680985,0.006818667933406797,0.07370204052475389,0.10581286330238715,0.013684952722305108,0.040077177326005575,0.12942992932332503,0.2202370385654685,0.9692308906521425,,,0,0.6318587900329662,0.5472758945067644,0.3723220515422069,0.5790218797956316,24.830369668121413,24.830369668121413,0.9996563094841274,1.5725553579825102,0.0,0.0,807.2273739708152,0.31259169266597614,174.4261645076147,1.0,0.05594008515843208,31.2145675184051,1.0,0.007997250475873014,4.462465765537142,1.0,-0.0020000000000000013,-1.1160000000000008,1.0,-0.0012637175800659316,-0.7051544096767899,1.0,-0.0005472758945067642,-0.3053799491347744,1.0,-1.617592548603738e-05,-0.009026166421208858,1.0,-0.001326636730302726,-0.7402632955089211,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.075268817204301,600.0,0.0017921146953405018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4096,1,train,,5,1,short_2.5D_no_current,0,,803.5815222077129,507,1,0,0,0,goal,36.2361048276954,-6.076619742745358,-27.331012578580918,8.674736735074495,5.0,32.66898742141908,1.2470614953444208,1.2470614953444208,8.82095741196191,8.82095741196191,9.413124020500009,34.98904333235096,34.997745619557385,0.9658252669809164,0.9997513472067315,1.3805816812448646,1.5909082598004691,1.3805313578536418,0.004424227096293584,0.02457579498685325,0.036149916867129414,0.062223091196764724,0.011713565955859364,0.036151758442880766,0.07800033330669008,0.11057034510245352,0.9657005289928728,,,0,0.6208517490252412,0.5580860386259074,0.3668788480893865,0.5669549386176838,24.545066601111255,24.545066601111255,0.9997098982051024,0.7383872854255241,0.0,0.0,803.581522207713,0.3428112823066766,173.80532012948504,1.0,0.05520953583013967,27.991234665880814,1.0,0.007997679185640816,4.054823347119894,1.0,-0.0020000000000000013,-1.0140000000000007,1.0,-0.0012417034980504833,-0.629543673511595,1.0,-0.0005580860386259077,-0.2829496215833352,1.0,-2.6545362560763117e-05,-0.0134584988183069,1.0,-0.0006506985026816758,-0.3299041408596096,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.183431952662722,600.0,0.0019723865877712033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4096,1,train,,6,1,short_2.5D_no_current,0,,806.305376669058,538,1,0,0,0,goal,38.73774716670213,-3.1812718731655423,-27.962920428972772,10.320982981397865,5.0,32.03707957102723,1.2459793993017467,1.2459793993017467,10.325444221536351,9.994768499204955,10.110712010638387,37.49176776740038,37.501362087615576,0.9680831961196413,0.9997441607536074,1.394102679837009,1.5715572174612256,1.394059598135413,0.0025880750367546423,0.00385214609670248,0.014655161458089696,0.05406496640226832,0.015247895159379844,0.0464127541073327,0.06589797993160605,0.1857143455381892,0.9678436541100274,,,0,0.6233193931917635,0.5653194571900628,0.37110415155061116,0.572127724239485,24.747157890459633,24.747157890459633,0.9996925743023517,0.21033279983661485,0.0,0.0,806.3053766690582,0.32381114133824207,174.21039403997423,1.0,0.05574984054632024,29.99341421392029,1.0,0.007997540594418819,4.302676839797325,1.0,-0.0020000000000000013,-1.0760000000000007,1.0,-0.0012466387863835282,-0.6706916670743381,1.0,-0.0005653194571900632,-0.304141867968254,1.0,-1.5528450175045666e-05,-0.008354306194174568,1.0,-0.0002637929059422016,-0.14192058339690447,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1152416356877324,600.0,0.0018587360594795538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8192,2,train,,0,1,short_2.5D_no_current,0,,807.524695961941,558,1,0,0,0,goal,40.22695688999995,0.0889423442810795,-42.73229969384991,8.09755401395741,5.0,17.26770030615009,1.2432986617779191,1.2432986617779191,8.317780407550305,8.317780407550305,9.222581564697748,38.98365822822207,39.00122335024655,0.9695295484790174,0.9995496263830809,1.3978933100446798,1.5799531244372345,1.3978301577557282,0.003727497038820238,0.016743434724293405,0.04851704408780635,0.09411535345301658,0.012308927926932379,0.05183641681408835,0.1628308660534377,0.24702991160475032,0.9693567838742566,,,0,0.6051713276410803,0.483407722791076,0.37376984624078624,0.5739540814098277,24.813011370526795,24.813011370526795,0.9995397202188345,1.125027550740333,0.0,0.0,807.524695961941,0.31261061224179315,174.43672163092057,1.0,0.05589054943114271,31.186926582577634,1.0,0.007996317761750677,4.461945311056878,1.0,-0.0020000000000000013,-1.1160000000000008,1.0,-0.0012103426552821613,-0.675371201647446,1.0,-0.0004834077227910758,-0.2697415093174203,1.0,-2.2364982178162302e-05,-0.012479660055414565,1.0,-0.0008733067949708078,-0.4873051915937108,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.075268817204301,600.0,0.0017921146953405018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8192,2,train,,1,1,short_2.5D_no_current,0,,799.3113154816233,453,1,0,0,0,goal,32.085549833121505,-12.29061674100712,-23.886156986287233,11.420088317460733,5.0,36.11384301371277,1.2300886090556424,1.2300886090556424,11.242844667083189,9.988045909479522,10.610824152281648,30.85546122406586,30.86826728531836,0.9620613468014639,0.9995851383190987,1.362837407740325,1.5675298367297166,1.36277506670367,0.0030342208103896163,0.011201583305830098,0.04457758053132237,0.06987757436485786,0.014179498567746363,0.04228782334649317,0.10878342803403414,0.20024087796503584,0.9618567767760049,,,0,0.6221671283705609,0.5587624736401616,0.3609574990425152,0.5606900379555115,24.28481074794673,24.28481074794673,0.9995258086831923,0.809264165179086,0.0,0.0,799.3113154816232,0.3821174401645035,173.0992003945201,1.0,0.05449088074890216,24.684368979252678,1.0,0.007996206469465547,3.622281530667893,1.0,-0.0020000000000000013,-0.9060000000000007,1.0,-0.0012443342567411224,-0.5636834183037285,1.0,-0.0005587624736401619,-0.25311940055899335,1.0,-1.8205324847987247e-05,-0.008247012156138224,1.0,-0.000802396449886435,-0.36348559179855505,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3245033112582782,600.0,0.002207505518763797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8192,2,train,,2,1,short_2.5D_no_current,0,,811.5914679356086,616,1,0,0,0,goal,44.460383683818165,-32.08311096402795,3.6923508718864184,12.242110744900076,5.0,27.916889035972048,1.2425343620573346,1.2425343620573346,12.113337597686085,9.995614692086658,11.011264006822532,43.21784932176082,43.228795751833914,0.9722992059460679,0.999746779203938,1.4035323296049933,1.560593346171987,1.4034829258165455,0.004082895586723919,0.022667744110675514,0.051226811151861375,0.08942479463558817,0.01341183297603576,0.04010916017978072,0.10936484686382718,0.18979916944144426,0.972101078493246,,,0,0.6007606775209597,0.5254322252948406,0.3769425418735905,0.5749608740065392,24.87626445766402,24.87626445766402,0.9997047941101708,1.2308467380775439,0.0,0.0,811.5914679356086,0.28404146091247223,174.9695399220829,1.0,0.05612707704124782,34.57427945740866,1.0,0.00799763835288137,4.926545225374924,1.0,-0.0020000000000000013,-1.2320000000000009,1.0,-0.0012015213550419185,-0.7401371547058218,1.0,-0.0005254322252948408,-0.3236662507816219,1.0,-2.449737342711192e-05,-0.015090382031100944,1.0,-0.0009220826002261171,-0.5680028817392881,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.974025974025974,600.0,0.0016233766233766235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
