global_step,update,stage_id,stage_label,episodes,successes,success_rate,collision_rate,out_of_bounds_rate,timeout_rate,mean_return,mean_len,mean_final_distance,mean_min_distance,mean_path_ratio,mean_path_efficiency,mean_min_obstacle_clearance,min_obstacle_clearance,mean_speed,max_speed_mean,mean_action_l2,mean_action_delta_l2,mean_abs_heading_error,max_abs_heading_error_mean,mean_cross_track_error,max_cross_track_error_mean,mean_abs_roll,mean_abs_pitch,mean_target_alignment,mean_current_speed,elapsed_sec,steps_per_sec,policy_loss,value_loss,entropy,approx_kl,clipfrac,log_std_mean,log_std_min,log_std_max,obs_rms_count,rc_window_mean__progress_reward,rc_cumulative_sum__progress_reward,rc_trigger_rate__progress_reward,rc_window_mean__step_penalty,rc_cumulative_sum__step_penalty,rc_trigger_rate__step_penalty,rc_window_mean__action_l2_penalty,rc_cumulative_sum__action_l2_penalty,rc_trigger_rate__action_l2_penalty,rc_window_mean__action_smooth_penalty,rc_cumulative_sum__action_smooth_penalty,rc_trigger_rate__action_smooth_penalty,rc_window_mean__roll_penalty,rc_cumulative_sum__roll_penalty,rc_trigger_rate__roll_penalty,rc_window_mean__pitch_penalty,rc_cumulative_sum__pitch_penalty,rc_trigger_rate__pitch_penalty,rc_window_mean__obstacle_clearance_penalty,rc_cumulative_sum__obstacle_clearance_penalty,rc_trigger_rate__obstacle_clearance_penalty,rc_window_mean__orbit_penalty,rc_cumulative_sum__orbit_penalty,rc_trigger_rate__orbit_penalty,rc_window_mean__goal_bonus,rc_cumulative_sum__goal_bonus,rc_trigger_rate__goal_bonus,rc_window_mean__collision_penalty,rc_cumulative_sum__collision_penalty,rc_trigger_rate__collision_penalty,rc_window_mean__out_of_bounds_penalty,rc_cumulative_sum__out_of_bounds_penalty,rc_trigger_rate__out_of_bounds_penalty,rc_window_mean__timeout_penalty,rc_cumulative_sum__timeout_penalty,rc_trigger_rate__timeout_penalty
4096,1,1,2.5D_no_obstacles,2,0,0.0,0.0,100.0,0.0,-97.3443566187662,1298.5,75.30369333825374,68.07563420359075,0.3757816361008165,0.35735617934006064,0.0,0.0,0.46382256927620247,1.0253370232323533,0.3928100575402895,0.6203058060191067,0.867755796639657,1.430956245022471,9.104402105890417,20.789471055055866,0.0014360518992571382,0.011947895892482008,0.5244448877308274,0.2998550853023441,26.36442600004375,155.36086391538367,0.018230585008859636,37.80309297144413,1.260822169482708,0.10515864896588027,0.58125,-0.997897207736969,-1.000536561012268,-0.9953130483627319,4099.0001,0.0004712582821319449,1.2238577586966608,1.0,-0.0060000000000000565,-15.582000000000146,1.0,-0.004712947455021812,-12.239524540691647,1.0,-0.0024792226735412086,-6.4385412831865185,1.0,-2.8865068310247025e-05,-0.07496258240171152,1.0,-0.0006074480515784238,-1.5775425899491666,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.061609549480169425,-160.0,0.0007701193685021178,0.0,0.0,0.0
8192,2,1,2.5D_no_obstacles,1,0,0.0,0.0,0.0,100.0,-116.22049001355222,2400.0,93.2700943876052,76.96758628919122,0.48887165756119405,0.0,0.0,0.0,0.3135605957306756,0.5653681854775777,0.40234334849694275,0.6054896364078256,1.3170371150997067,1.871104140855003,16.93416034922158,37.33500562203436,0.0008119839124700135,0.018860211392156673,0.1902403551933021,0.21670385460058847,51.78998430003412,158.17730224711812,0.012455018563196063,18.07222808264196,1.2662656880915164,0.15187783071305602,0.5641357421875,-0.9965819716453552,-1.0008432865142822,-0.9924667477607727,8197.000100000001,-0.000882541864071215,-0.8942427150742551,1.0,-0.0060000000000001346,-29.98200000000047,1.0,-0.004828120181963322,-23.82701297740362,1.0,-0.002421958545631306,-12.251241792701652,1.0,-1.623967824618875e-05,-0.11393781019256452,1.0,-0.000943010569068063,-3.8407679557125176,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-160.0,0.0,-0.03333333333333333,-80.0,0.0004166666666666667
12288,3,1,2.5D_no_obstacles,2,0,0.0,0.0,50.0,50.0,-115.17755770555802,1613.5,92.75435727693757,82.21587166051256,0.23716362375953493,0.0,0.0,0.0,0.3356398825725625,0.6177471938488431,0.5092742952929241,0.5795799241551276,0.8813277431184828,1.688917903114144,7.057061478519543,17.036199587645886,0.0015451071889209533,0.058771575237107715,0.5241634729891098,0.16445514775152986,77.3489767999854,158.86441564411646,0.035038976834039205,35.59945829659701,1.27013982757926,0.1705237095360644,0.6232666015625,-0.9946363568305969,-1.0010576248168945,-0.9874280095100403,12296.000100000001,-0.0008021654975633646,-3.482830775711233,1.0,-0.0060000000000000895,-49.34400000000076,1.0,-0.006474665807725456,-44.72075953893366,1.0,-0.002301835937319074,-19.679266362430305,1.0,-2.0676443425735078e-05,-0.18066069312741162,1.0,-0.00155439520802152,-8.856801291997963,1.0,0.0,0.0,0.0,-0.004648280136349551,-15.0,0.004648280136349551,0.0,0.0,0.0,0.0,0.0,0.0,-0.02479082739386427,-240.0,0.0003098853424233034,-0.02479082739386427,-160.0,0.0003098853424233034
16384,4,1,2.5D_no_obstacles,1,0,0.0,0.0,0.0,100.0,-134.47448426302086,2400.0,65.10874665516958,64.813000521735,0.47201722249172956,0.7721965988941283,0.0,0.0,0.40298938770269166,0.9475575205861161,0.47966730973440763,0.6079616297111109,0.7411236348166782,3.140389832058311,4.866765695689847,8.809150318956757,0.0019157342459194641,0.07480483156719214,0.590624019965274,0.3325413935631514,102.60302480007522,159.6834014584333,0.01654360972752329,16.964615738391878,1.2785580329596997,0.1848042928846553,0.583349609375,-0.9926124215126038,-1.0022706985473633,-0.9801888465881348,16394.0001,0.0015187087242815253,0.16207016256442763,1.0,-0.0060000000000001346,-63.74400000000109,1.0,-0.005756007716812891,-58.535178059284604,1.0,-0.0024318465188444393,-25.515698007656958,1.0,-3.8314684904853304e-05,-0.27261593689905955,1.0,-0.003740241579978032,-17.83338108394524,1.0,0.0,0.0,0.0,-0.00625,-30.0,0.00625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-240.0,0.0,-0.03333333333333333,-240.0,0.0004166666666666667
20480,5,1,2.5D_no_obstacles,2,0,0.0,0.0,100.0,0.0,-116.60343089416185,1691.0,70.83895320985276,56.86522681108361,0.45820293055776284,0.0,0.0,0.0,0.3031567638055994,0.632818911572741,0.46802401787194126,0.6230408131654728,0.8595906335774575,1.568290704789358,11.828163718867543,24.244898964846346,0.0017498502806084755,0.04144614729079174,0.48702342932623904,0.2388170048104082,128.53756409999914,159.33085509592394,0.03572011139185634,32.49520095735788,1.2771075040102005,0.2497420005267486,0.608740234375,-0.9938111305236816,-1.00420343875885,-0.9797612428665161,20493.0001,-0.00131482897575024,-4.284681433422884,1.0,-0.006000000000000096,-84.03600000000141,1.0,-0.005562123787333691,-77.34628070804715,1.0,-0.0024997850592630368,-33.96997107808455,1.0,-3.332042325646533e-05,-0.38530560835242533,1.0,-0.0018007228863669243,-23.92342588563818,1.0,0.0,0.0,0.0,-0.004435245416913069,-45.0,0.004435245416913069,0.0,0.0,0.0,0.0,0.0,0.0,-0.04730928444707274,-400.0,0.0005913660555884093,0.0,-240.0,0.0
24576,6,1,2.5D_no_obstacles,1,0,0.0,0.0,0.0,100.0,-117.51207638743304,2400.0,102.90829749711972,92.14580584800865,0.14261540821441987,0.0,0.0,0.0,0.10951176430216975,0.15284203659627058,0.5420214627477495,0.6249051401986798,0.10077559162874215,0.21377550600622008,6.416431351473945,12.736332209607514,0.00021819339827462852,0.0027025888257992095,0.9931398443515336,0.10429497088616092,210.29773120000027,116.86288701149796,0.017179513702285477,15.30981940627098,1.2765055686235427,0.18909280030056835,0.5776611328125,-0.9934771656990051,-1.0046168565750122,-0.978114128112793,24591.0001,-0.00048666040512573773,-5.4526664057246546,1.0,-0.0060000000000001346,-98.43600000000173,1.0,-0.0065042575529729914,-92.95649883518233,1.0,-0.0024996205607947255,-39.96906042399189,1.0,-4.363867966967515e-06,-0.3957788914731474,1.0,-0.0001351294412366806,-24.247736544606216,1.0,0.0,0.0,0.0,0.0,-45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-400.0,0.0,-0.03333333333333333,-320.0,0.0004166666666666667
28672,7,1,2.5D_no_obstacles,2,0,0.0,0.0,50.0,50.0,-109.38176595423391,1936.5,53.53244411697854,42.78534612776501,0.40918662486322555,0.0,0.0,0.0,0.21813434857247122,0.2834845304156391,0.3985280744905515,0.6389586174887434,0.6438427578027026,1.0802361821568243,8.264970886946864,17.220041435034222,0.0012041552541691492,0.00786701758184711,0.7401217064120769,0.21641792409728963,235.53861920000054,121.72950702260012,0.029904271240229718,30.936315823346376,1.2765080034732819,0.24425908676348626,0.648681640625,-0.993593692779541,-1.006089687347412,-0.9731770157814026,28690.0001,-0.001294076939323673,-10.46462639172524,1.0,-0.006000000000000113,-121.67400000000217,1.0,-0.004931730866068784,-112.05709247946673,1.0,-0.002535273621508525,-49.78817516009441,1.0,-2.2909010195612008e-05,-0.48450548796075266,1.0,-0.00038862301719409266,-25.752873490198937,1.0,0.0,0.0,0.0,0.0,-45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.020655822359927703,-480.0,0.0002581977794990963,-0.020655822359927703,-400.0,0.0002581977794990963
32768,8,1,2.5D_no_obstacles,2,0,0.0,0.0,50.0,50.0,-112.53907988608236,2015.0,79.41357368985983,62.922449810179344,0.36446892536117514,0.0,0.0,0.0,0.2074020768679869,0.23878364374514782,0.509682985484649,0.598619101087978,0.4394296781744883,0.6486864708572786,9.621390988788441,19.71520455018996,0.00067563434903825,0.002641734583238093,0.8888326688976349,0.20820884446929644,260.92566549999174,125.5836597645893,-0.0008718565222807229,28.38643005490303,1.2765750013291837,0.2821109857177362,0.5754150390625,-0.9938096404075623,-1.0067743062973022,-0.9719197750091553,32789.000100000005,-0.001536946152817796,-16.65851938758096,1.0,-0.006000000000000117,-145.85400000000263,1.0,-0.006073586102654089,-136.53364447316272,1.0,-0.002398695019056451,-59.45491608689191,1.0,-1.3378211800354539e-05,-0.5384196815161815,1.0,-0.0001258212561439589,-26.25993315245909,1.0,0.0,0.0,0.0,0.0,-45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.019851116625310174,-560.0,0.00024813895781637717,-0.019851116625310174,-480.0,0.00024813895781637717
36864,9,1,2.5D_no_obstacles,1,0,0.0,0.0,0.0,100.0,-117.09166073370545,2400.0,63.61411705830131,63.61411705830131,0.36812139735967075,0.8368659419391993,0.0,0.0,0.28203309069174826,0.40119217541423097,0.6398167727693604,0.5643009356682644,0.2068840752409297,0.6278713007710994,7.1133990524551,12.105943366630054,0.0010082729696278782,0.01566611825888088,0.962365041606292,0.28412968525042137,286.3165375000099,128.75260479845224,0.012136213370831683,13.714870756864547,1.2747254014015197,0.2590125563321635,0.5956298828125,-0.994848906993866,-1.009414792060852,-0.9711608290672302,36887.000100000005,0.0012836177497890643,-13.577836788087204,1.0,-0.0060000000000001346,-160.25400000000295,1.0,-0.007677801273232325,-154.9603675289203,1.0,-0.0022572037426730578,-64.87220506930726,1.0,-2.01654593789168e-05,-0.5868167840255818,1.0,-0.0007833059135486999,-28.139867344975972,1.0,0.0,0.0,0.0,0.0,-45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-560.0,0.0,-0.03333333333333333,-560.0,0.0004166666666666667
40960,10,1,2.5D_no_obstacles,1,0,0.0,0.0,0.0,100.0,-115.64587449066715,2400.0,49.083802947865564,39.64326838116203,0.40342950152002044,0.0,0.0,0.0,0.13327720001363783,0.1921373398162769,0.4243198627489619,0.6389975608762082,0.49723345856459134,0.8830425276082909,7.123053087121511,14.802689152379257,0.0006464885851564064,0.003989025030796317,0.8553840710817826,0.14571528292571506,311.70947250002064,131.40441216459115,0.024989873822778463,16.316966282576324,1.2704880684614182,0.13156233169138432,0.5640869140625,-0.9953866600990295,-1.0105483531951904,-0.9711992740631104,40985.000100000005,-0.0009922380848217298,-15.959208191659355,1.0,-0.0060000000000001346,-174.65400000000326,1.0,-0.005091838352987543,-167.1807795760904,1.0,-0.0025559902435048354,-71.00658165371885,1.0,-1.2929771686558209e-05,-0.6178482360733215,1.0,-0.00019945125144399365,-28.618550348441556,1.0,0.0,0.0,0.0,0.0,-45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-560.0,0.0,-0.03333333333333333,-640.0,0.0004166666666666667
