time/iterations,custom/out_of_bounds_count,custom/timeout_count,rollout/ep_len_mean,custom/success_rate_total,time/total_timesteps,custom/episodes_total,custom/collision_count,custom/successes_total,time/time_elapsed,custom/goal_count,rollout/success_rate,rollout/ep_rew_mean,time/fps,custom/other_terminal_count,train/n_updates,train/approx_kl,train/explained_variance,train/std,train/entropy_loss,train/clip_range,train/policy_gradient_loss,train/clip_fraction,train/learning_rate,train/value_loss,train/loss
1,2,0,560.5,0.0,2048,2,0,0,4,0,0.0,-26.812548,430,0,,,,,,,,,,,
2,5,0,715.6,0.0,4096,5,0,0,11,0,0.0,-49.828671,360,0,10,0.008215159,0.16566169261932373,0.9988839030265808,-4.255700975656509,0.2,-0.007474664266919717,0.0671875,0.0003,0.5977549395174719,-0.050100814551115036
3,6,1,837.0,0.0,6144,7,0,0,18,0,0.0,-52.52135314285714,339,0,20,0.009761471,-0.009232044219970703,1.0039317607879639,-4.25897818505764,0.2,-0.009979675033537205,0.090576171875,0.0003,0.3083615202980582,0.027646318078041077
4,9,2,742.5454545454545,0.0,8192,11,0,0,25,0,0.0,-57.494143,327,0,30,0.0103224255,0.5182667374610901,1.0129294395446777,-4.283340936899185,0.2,-0.010115953157946934,0.118701171875,0.0003,0.13736312757246197,-0.05233802646398544
5,9,3,780.6666666666666,0.0,10240,12,0,0,32,0,0.0,-49.0881885,319,0,40,0.008560266,0.4643647074699402,1.0167222023010254,-4.298660261929035,0.2,-0.00825789706868818,0.087548828125,0.0003,0.40458863106323406,0.06725764274597168
6,11,4,815.4,0.0,12288,15,0,0,38,0,0.0,-42.89870173333334,315,0,50,0.010066698,0.8628295063972473,1.0193047523498535,-4.3101411506533625,0.2,-0.015381935810728465,0.13154296875,0.0003,0.02072713626548648,-0.034942589700222015
7,12,5,803.4705882352941,0.0,14336,17,0,0,45,0,0.0,-41.906345470588235,315,0,60,0.010680664,0.5577374696731567,1.042665958404541,-4.350896246731281,0.2,-0.01470522309828084,0.102685546875,0.0003,0.24046140542486683,-0.020638493821024895
8,13,6,824.2631578947369,0.0,16384,19,0,0,52,0,0.0,-42.34981473684211,314,0,70,0.0103050405,0.7062721252441406,1.0472509860992432,-4.389405490458012,0.2,-0.015059371577808633,0.111474609375,0.0003,0.11287775538221467,-0.06545872986316681
9,15,7,831.0454545454545,0.0,18432,22,0,0,58,0,0.0,-50.37603463636365,313,0,80,0.009123709,0.7343853116035461,1.0533294677734375,-4.404234583675861,0.2,-0.010920303873717785,0.1029296875,0.0003,0.15457780575961805,-0.0295509435236454
10,16,8,838.0,0.0,20480,24,0,0,65,0,0.0,-50.394176249999994,312,0,90,0.010939598,0.8228039741516113,1.066033124923706,-4.437651933729649,0.2,-0.015347647879389114,0.107177734375,0.0003,0.20562539960374124,-0.03399921581149101
11,20,8,794.1428571428571,0.0,22528,28,0,0,72,0,0.0,-57.40209325,311,0,100,0.0111971535,0.603213906288147,1.071030855178833,-4.456321506202221,0.2,-0.012081142951501533,0.123876953125,0.0003,0.16343021958891768,0.027828853577375412
12,23,8,781.0322580645161,0.0,24576,31,0,0,79,0,0.0,-66.74878380645161,309,0,110,0.008344589,0.45252346992492676,1.070844292640686,-4.463318212330341,0.2,-0.006101845507510006,0.070068359375,0.0003,0.27105318105896004,0.019970353692770004
13,29,8,717.3783783783783,0.0,26624,37,0,0,86,0,0.0,-68.7831144864865,308,0,120,0.008248104,0.4273134469985962,1.087245225906372,-4.487820659577847,0.2,-0.0151056148664793,0.12353515625,0.0003,0.26019863262190485,0.3354215919971466
14,31,8,716.1282051282051,0.0,28672,39,0,0,93,0,0.0,-69.8041926923077,307,0,130,0.010494011,0.49396204948425293,1.1064156293869019,-4.535076935589314,0.2,-0.013806471189309378,0.087939453125,0.0003,0.4952550633810461,0.059860557317733765
15,32,10,729.8095238095239,0.0,30720,42,0,0,100,0,0.0,-71.22198066666667,305,0,140,0.01127388,0.7760254144668579,1.1044981479644775,-4.55899738818407,0.2,-0.014706593216396868,0.1236328125,0.0003,0.12826877596089617,-0.044801414012908936
16,36,10,708.695652173913,0.0,32768,46,0,0,107,0,0.0,-76.16758095652173,305,0,150,0.008993415,0.805008590221405,1.102522373199463,-4.55303368717432,0.2,-0.010934453434310853,0.10341796875,0.0003,0.08594471693213564,-0.03572465851902962
17,37,10,718.7021276595744,0.0,34816,47,0,0,113,0,0.0,-76.98845621276594,305,0,160,0.011778827,0.8099001049995422,1.105741024017334,-4.555079859495163,0.2,-0.0155477858701488,0.109765625,0.0003,0.11518301794712897,-0.029544079676270485
18,39,12,715.6274509803922,0.0,36864,51,0,0,120,0,0.0,-75.29925947058824,305,0,170,0.0064711934,0.7869415283203125,1.1156549453735352,-4.572020135819912,0.2,-0.007026994122134056,0.074658203125,0.0003,0.08937544847431127,-0.039554253220558167
19,39,14,733.9056603773585,0.0,38912,53,0,0,127,0,0.0,-72.40714239622642,305,0,180,0.010920011,0.7223330140113831,1.1268932819366455,-4.602906516194343,0.2,-0.010172124864766374,0.092529296875,0.0003,0.12137875450134743,0.050282806158065796
20,40,15,733.2545454545455,0.0,40960,55,0,0,133,0,0.0,-71.6349888909091,305,0,190,0.009827178,0.894131064414978,1.1227471828460693,-4.607168480753899,0.2,-0.017082519669202156,0.12294921875,0.0003,0.03731179340102244,-0.06998134404420853
21,43,16,722.8813559322034,0.0,43008,59,0,0,140,0,0.0,-72.34144852542373,305,0,200,0.008296244,0.882172167301178,1.1393471956253052,-4.627953073382377,0.2,-0.008378214592812582,0.08759765625,0.0003,0.09700075535220094,-0.025984153151512146
22,44,17,731.2786885245902,0.0,45056,61,0,0,147,0,0.0,-73.39844321311475,305,0,210,0.009417394,0.475303590297699,1.155344843864441,-4.668109352886677,0.2,-0.011388768028700725,0.0859375,0.0003,0.20844187729526312,-0.04164431244134903
23,47,17,730.09375,0.0,47104,64,0,0,153,0,0.0,-75.6060715,306,0,220,0.008804665,0.7364362478256226,1.1716182231903076,-4.712713162600994,0.2,-0.011595269880490377,0.0810546875,0.0003,0.06023514654953033,-0.03250953555107117
